iter	PairLogit
0	0.6895888256
1	0.6861146186
2	0.6829650249
3	0.6798833567
4	0.6770298136
5	0.674340201
6	0.6718199058
7	0.6693886832
8	0.6671594292
9	0.6650528691
10	0.6629878038
11	0.661038246
12	0.6592687434
13	0.6575571798
14	0.6558719528
15	0.6543317569
16	0.6528274572
17	0.651363846
18	0.650012964
19	0.6486346689
20	0.647439708
21	0.6461838292
22	0.6450340942
23	0.6439414526
24	0.6429425108
25	0.6419597466
26	0.6409753288
27	0.6400761463
28	0.6392347005
29	0.6384190461
30	0.6376298201
31	0.6368355608
32	0.6360573495
33	0.6353499363
34	0.6346937226
35	0.6339670265
36	0.6333203845
37	0.6327366247
38	0.6320978309
39	0.6314782066
40	0.6308943171
41	0.6303213134
42	0.6298069727
43	0.6292732383
44	0.6287304724
45	0.6282230395
46	0.6277735306
47	0.627282816
48	0.6268412761
49	0.6263669623
50	0.6259309463
51	0.6255029614
52	0.6250663563
53	0.6246660626
54	0.6242951341
55	0.6238984097
56	0.6235142878
57	0.623134316
58	0.6227496725
59	0.6224389179
60	0.6221069333
61	0.621765881
62	0.6214136122
63	0.621121627
64	0.6207983656
65	0.62048608
66	0.6201846681
67	0.6198668404
68	0.619586808
69	0.6192516566
70	0.6189789512
71	0.6186918927
72	0.618405107
73	0.6181780752
74	0.6178961075
75	0.6176458689
76	0.6173827304
77	0.6171385177
78	0.6168816672
79	0.6166643473
80	0.6163828335
81	0.6161491739
82	0.6159112619
83	0.6157179794
84	0.6154792608
85	0.615286344
86	0.6150655764
87	0.6148336845
88	0.6146694277
89	0.614499329
90	0.6143043616
91	0.6141168844
92	0.6139183351
93	0.6137208294
94	0.6135799318
95	0.613366684
96	0.6131781845
97	0.6130032509
98	0.6128247407
99	0.6126533482
100	0.6124942339
101	0.6122962344
102	0.6121561125
103	0.6119339495
104	0.6117806358
105	0.6116227945
106	0.6114627179
107	0.6112975367
108	0.6111441169
109	0.6109857513
110	0.6108696092
111	0.610729194
112	0.6106063429
113	0.6104686974
114	0.6103339764
115	0.6101881325
116	0.6100532545
117	0.6099514764
118	0.6098096623
119	0.6096454723
120	0.6094886953
121	0.609360044
122	0.6092037281
123	0.6090769736
124	0.608953811
125	0.6088093232
126	0.6087157469
127	0.6086010896
128	0.6084790575
129	0.6083556401
130	0.6082341912
131	0.6081271677
132	0.6080220533
133	0.6078820229
134	0.6077821453
135	0.6076728374
136	0.6075743795
137	0.6074818544
138	0.6073695793
139	0.6072506593
140	0.6071517182
141	0.6070561322
142	0.6069303692
143	0.6068056406
144	0.6066868397
145	0.6065959855
146	0.6065133353
147	0.6063893311
148	0.6063110698
149	0.6061968246
150	0.6060801055
151	0.605943285
152	0.6058398493
153	0.6057328481
154	0.6056433826
155	0.6055328372
156	0.6054564386
157	0.6053545324
158	0.6052472921
159	0.6051399213
160	0.6050558734
161	0.6049525246
162	0.6048429238
163	0.6047701323
164	0.6046688388
165	0.6045939952
166	0.6044797208
167	0.6043861594
168	0.6043009748
169	0.6042177774
170	0.6041287652
171	0.6040325578
172	0.603953878
173	0.6038391792
174	0.6037529888
175	0.6036794578
176	0.6035950112
177	0.6035168219
178	0.6034330208
179	0.6033397019
180	0.6032406382
181	0.6031636308
182	0.6030643011
183	0.6029796065
184	0.602907691
185	0.6028448999
186	0.6027690681
187	0.6026893653
188	0.6026025281
189	0.6025232598
190	0.6024684878
191	0.6023855014
192	0.6022985081
193	0.6022289113
194	0.602157687
195	0.6020921884
196	0.6020061894
197	0.6019298496
198	0.6018704964
199	0.601783435
200	0.6017196043
201	0.6016443696
202	0.6015895293
203	0.6015227596
204	0.601441693
205	0.6013774252
206	0.6013066022
207	0.6012303461
208	0.6011634596
209	0.6011048688
210	0.601035219
211	0.600979004
212	0.6009092391
213	0.6008485165
214	0.6007807608
215	0.6007060047
216	0.6006582573
217	0.6006047562
218	0.6005506197
219	0.6004951016
220	0.6004369327
221	0.6003727115
222	0.6003029773
223	0.6002603131
224	0.6001740571
225	0.600100053
226	0.6000411325
227	0.5999880719
228	0.5999287645
229	0.5998665764
230	0.599798471
231	0.5997336338
232	0.5996773014
233	0.599622499
234	0.5995503833
235	0.5995030274
236	0.5994521465
237	0.5993930329
238	0.599335414
239	0.5992862783
240	0.5992238271
241	0.5991675118
242	0.5990955088
243	0.5990295564
244	0.5989786436
245	0.5989296649
246	0.5988734941
247	0.5988200713
248	0.5987742847
249	0.5987161453
250	0.59866211
251	0.5986017356
252	0.5985639166
253	0.5985125757
254	0.598465636
255	0.5984135083
256	0.598370398
257	0.5983140234
258	0.5982564189
259	0.5982104222
260	0.5981595498
261	0.5981042028
262	0.5980562309
263	0.5979999506
264	0.5979497118
265	0.597906242
266	0.597856965
267	0.5978106218
268	0.5977529471
269	0.5977069621
270	0.5976539412
271	0.5975998323
272	0.5975439942
273	0.5974953842
274	0.5974374438
275	0.5973965363
276	0.5973536967
277	0.5973140873
278	0.5972657229
279	0.5972231235
280	0.5971729879
281	0.5971340033
282	0.5970821067
283	0.5970307623
284	0.5969893215
285	0.5969492632
286	0.5968983779
287	0.5968586633
288	0.5968123808
289	0.5967593524
290	0.596723164
291	0.5966723221
292	0.5966362165
293	0.5965867871
294	0.5965364385
295	0.5964896983
296	0.5964487737
297	0.5964082072
298	0.5963575818
299	0.5963113319
300	0.5962674747
301	0.5962312331
302	0.5961818148
303	0.5961374253
304	0.5960871234
305	0.5960574043
306	0.5960103074
307	0.5959634368
308	0.5959144734
309	0.5958732298
310	0.5958320584
311	0.5957823378
312	0.5957457665
313	0.5957029119
314	0.5956651201
315	0.595625577
316	0.5955863173
317	0.5955496902
318	0.5955134116
319	0.5954700585
320	0.5954261046
321	0.5953794575
322	0.5953362563
323	0.5952944871
324	0.5952557286
325	0.5952223172
326	0.5951855677
327	0.5951373661
328	0.5950938422
329	0.5950585165
330	0.5950109392
331	0.594976311
332	0.5949402732
333	0.5948995624
334	0.5948633952
335	0.594830569
336	0.5947930487
337	0.5947528009
338	0.5947113369
339	0.5946769188
340	0.5946393581
341	0.5946033912
342	0.5945647751
343	0.5945336483
344	0.5944927774
345	0.5944590405
346	0.5944177177
347	0.5943749511
348	0.5943469065
349	0.5943097403
350	0.5942748474
351	0.5942427959
352	0.5942021841
353	0.5941661413
354	0.5941276603
355	0.5940849652
356	0.5940549362
357	0.5940220947
358	0.5939871112
359	0.5939513185
360	0.5939083979
361	0.5938787444
362	0.5938539785
363	0.5938125061
364	0.593773943
365	0.5937426575
366	0.593705074
367	0.5936713751
368	0.5936391745
369	0.5936039871
370	0.5935660992
371	0.5935158904
372	0.593471557
373	0.5934313554
374	0.593385336
375	0.593352257
376	0.5933105441
377	0.5932794078
378	0.593246102
379	0.593211639
380	0.5931772464
381	0.5931477007
382	0.593113784
383	0.5930796055
384	0.5930405668
385	0.593008404
386	0.5929795135
387	0.5929435653
388	0.5929047366
389	0.5928764211
390	0.59284978
391	0.5928131221
392	0.5927785423
393	0.5927390137
394	0.5926952095
395	0.5926641888
396	0.5926357946
397	0.5926069808
398	0.592570806
399	0.5925251473
400	0.5924973105
401	0.5924698176
402	0.5924308583
403	0.5924069333
404	0.5923795846
405	0.5923493152
406	0.592315546
407	0.5922877826
408	0.5922557247
409	0.5922221727
410	0.5922012256
411	0.5921617078
412	0.592118143
413	0.5920874625
414	0.5920627356
415	0.5920224714
416	0.5919933847
417	0.5919569409
418	0.591925535
419	0.5918959283
420	0.5918726708
421	0.5918379461
422	0.5918059621
423	0.5917738004
424	0.5917356566
425	0.5917038693
426	0.5916711096
427	0.5916373238
428	0.5916082896
429	0.5915759537
430	0.5915460256
431	0.5915171839
432	0.5914801124
433	0.5914344966
434	0.5914010061
435	0.5913648291
436	0.5913327645
437	0.5913078111
438	0.5912820539
439	0.5912572894
440	0.5912290702
441	0.5912039545
442	0.5911656185
443	0.5911322114
444	0.5911001371
445	0.5910771242
446	0.5910451425
447	0.5910152262
448	0.5909895234
449	0.5909602144
450	0.5909278774
451	0.5908909536
452	0.5908612892
453	0.590833532
454	0.5908079812
455	0.5907758666
456	0.59074283
457	0.590714932
458	0.5906837707
459	0.5906556231
460	0.5906222533
461	0.5905955215
462	0.5905694775
463	0.5905393206
464	0.5905073692
465	0.5904745005
466	0.5904397896
467	0.5904169174
468	0.5903927931
469	0.5903663698
470	0.5903394529
471	0.5903118249
472	0.5902797124
473	0.590253573
474	0.5902257198
475	0.5902025953
476	0.5901720116
477	0.5901375545
478	0.5901070773
479	0.590072425
480	0.5900504303
481	0.590020356
482	0.5899982455
483	0.5899719431
484	0.5899458624
485	0.5899200455
486	0.5899006404
487	0.5898721208
488	0.5898418446
489	0.5898155901
490	0.5897940765
491	0.5897658718
492	0.5897385515
493	0.589712174
494	0.5896883821
495	0.5896535528
496	0.5896332
497	0.5896029553
498	0.5895705522
499	0.5895465798
500	0.5895207404
501	0.5894885642
502	0.5894665656
503	0.5894422901
504	0.5894099732
505	0.5893846884
506	0.5893660071
507	0.5893446214
508	0.5893199917
509	0.5892933587
510	0.5892667954
511	0.5892418772
512	0.5892108997
513	0.5891849273
514	0.5891602939
515	0.589129733
516	0.5891059287
517	0.5890709813
518	0.5890510515
519	0.5890270842
520	0.5890056652
521	0.5889825013
522	0.5889595303
523	0.5889315948
524	0.588908247
525	0.588883122
526	0.5888545057
527	0.5888248801
528	0.5888026356
529	0.5887754419
530	0.588746303
531	0.5887254232
532	0.5887027899
533	0.588676932
534	0.5886533617
535	0.5886205908
536	0.5885923176
537	0.5885624758
538	0.588533012
539	0.5885157677
540	0.5884975487
541	0.5884730629
542	0.5884547486
543	0.5884261586
544	0.5883950588
545	0.5883776677
546	0.588360508
547	0.5883372851
548	0.5883107357
549	0.588289037
550	0.5882605118
551	0.5882316663
552	0.5882045654
553	0.588175146
554	0.588148557
555	0.5881268888
556	0.5881031696
557	0.5880816134
558	0.5880583948
559	0.5880349082
560	0.5880072693
561	0.5879834724
562	0.5879557268
563	0.5879321241
564	0.5879075847
565	0.5878829485
566	0.5878594118
567	0.5878364352
568	0.5878159507
569	0.587791951
570	0.5877677684
571	0.5877433662
572	0.5877109168
573	0.58768948
574	0.5876632726
575	0.5876365401
576	0.5876138376
577	0.5875933506
578	0.5875666341
579	0.5875487124
580	0.5875202356
581	0.5874907531
582	0.5874689048
583	0.5874402086
584	0.5874201867
585	0.5873951483
586	0.5873684297
