iter	Passed	Remaining
0	12436	12424122
1	25003	12476905
2	37460	12449327
3	49939	12435013
4	62443	12426165
5	74938	12414887
6	87497	12412215
7	99963	12395415
8	112437	12380638
9	125021	12377083
10	137504	12362889
11	149989	12349114
12	162422	12331642
13	174932	12320254
14	187372	12304139
15	199881	12292735
16	212398	12281626
17	224943	12271898
18	237407	12257747
19	249950	12247578
20	262486	12236849
21	275026	12226167
22	287500	12212511
23	300032	12201317
24	312604	12191566
25	325107	12179045
26	337704	12169879
27	350305	12160609
28	362910	12151228
29	375446	12139421
30	387944	12126382
31	400490	12114850
32	412998	12102106
33	425609	12092326
34	438101	12079084
35	450664	12067789
36	463146	12054318
37	475625	12040839
38	488183	12029333
39	500668	12016042
40	513197	12003823
41	525675	11990415
42	538133	11976602
43	550712	11965490
44	563158	11951465
45	575710	11939733
46	588181	11926313
47	600703	11913956
48	613286	11902773
49	625847	11891099
50	638304	11877462
51	650821	11864967
52	663289	11851614
53	675773	11838544
54	688300	11826251
55	700883	11814891
56	713367	11801849
57	725898	11789593
58	738460	11777817
59	751001	11765694
60	763452	11752161
61	775954	11739435
62	788534	11727879
63	801020	11714929
64	813488	11701718
65	826011	11689321
66	838499	11676419
67	851764	11674181
68	865164	11673451
69	879592	11686015
70	893365	11689253
71	906916	11689151
72	920127	11684359
73	933290	11678740
74	946483	11673295
75	959184	11661660
76	971954	11650829
77	984522	11637565
78	997187	11625441
79	1009804	11612749
80	1022500	11600957
81	1036029	11598475
82	1049226	11592056
83	1062414	11585375
84	1075689	11579479
85	1088857	11572279
86	1101964	11564295
87	1114992	11555373
88	1128158	11547781
89	1141284	11539656
90	1154398	11531302
91	1167458	11522309
92	1180590	11513932
93	1193666	11504916
94	1206697	11495383
95	1219725	11485750
96	1232780	11476292
97	1245880	11467186
98	1259002	11458198
99	1272097	11448875
100	1285344	11440840
101	1298449	11431448
102	1311579	11422203
103	1324749	11413225
104	1337926	11404228
105	1351129	11395377
106	1364158	11384985
107	1377343	11375837
108	1390496	11366353
109	1403605	11356448
110	1416691	11346294
111	1429882	11336925
112	1442940	11326440
113	1456349	11318649
114	1469457	11308433
115	1483586	11305951
116	1497358	11300574
117	1510069	11287129
118	1523631	11279994
119	1538132	11279637
120	1551416	11270208
121	1564550	11259633
122	1577314	11246377
123	1589949	11232223
124	1602621	11218347
125	1615384	11205130
126	1627923	11190374
127	1640588	11176509
128	1653276	11162819
129	1665953	11149070
130	1678649	11135467
131	1691295	11121547
132	1703927	11107560
133	1716568	11093645
134	1729201	11079699
135	1741948	11066494
136	1754578	11052564
137	1767231	11038796
138	1779883	11025033
139	1793140	11015003
140	1806691	11006720
141	1819804	10995719
142	1833231	10986570
143	1846369	10975639
144	1859608	10965280
145	1872843	10954850
146	1885919	10943464
147	1898983	10931984
148	1912044	10920470
149	1925149	10909179
150	1938249	10897838
151	1951432	10886941
152	1964623	10876050
153	1977690	10864455
154	1990867	10853438
155	2003911	10841674
156	2017003	10830152
157	2030080	10818531
158	2043232	10807286
159	2056348	10795831
160	2069361	10783816
161	2082533	10772613
162	2095625	10760975
163	2108731	10749386
164	2121913	10738169
165	2135067	10726784
166	2148261	10715577
167	2161496	10704554
168	2174648	10693091
169	2187752	10681377
170	2200914	10669930
171	2214064	10658404
172	2227136	10646486
173	2240228	10634646
174	2253377	10623066
175	2266447	10611094
